model,roc_auc,average_precision,precision,recall,f1_score,tn,fp,fn,tp,runtime_seconds,precision_at_0.5%,precision_at_1%,precision_at_2%,precision_at_5%
CBLOF,0.9295037797062089,0.49202837877531225,0.5941463414634146,0.48564593301435405,0.5344449319877139,18343,416,645,609,8.564316511154175,0.38,0.57,0.695,0.6
ECOD,0.8951996502603791,0.4519910597607558,0.4677137870855148,0.4274322169059011,0.44666666666666666,18149,610,718,536,3.3482184410095215,0.86,0.79,0.6775,0.492
IsolationForest,0.8734577843889585,0.3632265192418092,0.45454545454545453,0.34688995215311,0.39348710990502034,18237,522,819,435,2.2080307006835938,0.64,0.625,0.545,0.447
OCSVM,0.8106384746060858,0.2681467891173626,0.37073170731707317,0.30303030303030304,0.3334795963141729,18114,645,874,380,40.443591594696045,0.34,0.425,0.455,0.375
