rank,model,suitability_score,reason
1,ECOD,80.0,fast distribution-tail detector; numeric-heavy data fits ECOD distribution-tail assumptions; low expected anomaly rate fits tail detection
2,IsolationForest,73.0,good general-purpose baseline for mixed claim data; handles moderately high-dimensional feature sets
3,CBLOF,64.0,useful when anomalies are small clusters far from large clusters; dataset size is suitable for cluster-based scoring; very high-dimensional data can weaken cluster distance quality
4,OCSVM,61.0,captures nonlinear normal-data boundary; small/medium dataset keeps OCSVM practical; higher-dimensional data can reduce OCSVM stability
