model,roc_auc,average_precision,precision,recall,f1_score,tn,fp,fn,tp,runtime_seconds,precision_at_0.5%,precision_at_1%,precision_at_2%,precision_at_5%
CBLOF,0.9005765483498278,0.39677426312195563,0.502868068833652,0.4194577352472089,0.4573913043478261,18239,520,728,526,7.610370874404907,0.36,0.495,0.6225,0.512
ECOD,0.8951962919574257,0.45198545358785824,0.4677137870855148,0.4274322169059011,0.44666666666666666,18149,610,718,536,4.2647905349731445,0.86,0.79,0.6775,0.492
IsolationForest,0.8734553613096124,0.3632223316414801,0.45454545454545453,0.34688995215311,0.39348710990502034,18237,522,819,435,3.1967813968658447,0.64,0.625,0.545,0.447
OCSVM,0.8106425555818267,0.2681510379312118,0.37073170731707317,0.30303030303030304,0.3334795963141729,18114,645,874,380,51.04449415206909,0.34,0.425,0.455,0.375
